Dominique Jones,7.21,2010,1224,.562,.503,.339,.572,.204,33,33,7.3,16.1,.450,5.6,10.7,.521,1.7,5.5,.311,6.8,9.2,.741,6.6,3.9,1.8,0.6,3.2,3.0,23.0
Quincy Pondexter,7.49,2010,1162,.608,.547,.110,.487,.250,36,36,8.4,16.0,.528,7.8,14.2,.550,0.6,1.8,.353,6.4,7.8,.827,9.1,2.2,1.6,0.7,2.3,3.1,23.9
Jordan Crawford,,2010,1147,.564,.532,.359,.274,.207,35,34,9.1,19.6,.462,6.3,12.6,.501,2.8,7.0,.391,4.1,5.4,.773,5.8,3.5,1.6,0.2,3.0,2.0,25.0
Greivis Vasquez,7.95,2010,1120,.549,.496,.374,.314,.208,33,32,7.9,18.3,.429,5.4,11.5,.470,2.5,6.9,.359,4.9,5.8,.857,5.5,7.4,2.0,0.4,4.0,2.5,23.1
Daniel Orton,6.82,2010,502,.533,.527,.022,.692,.135,38,0,3.8,7.3,.527,3.8,7.1,.539,0.0,0.2,.000,2.6,5.0,.524,10.0,1.2,1.7,4.2,3.0,7.0,10.3
Lazar Hayward,8.23,2010,1097,.536,.495,.362,.247,.198,34,34,8.1,18.7,.432,5.7,12.0,.479,2.4,6.8,.349,3.9,4.6,.843,9.3,1.9,2.3,0.7,2.4,4.2,22.5
Kyrie Irving,8.31,2011,303,.697,.615,.375,.683,.320,11,8,7.3,13.7,.529,4.9,8.6,.569,2.4,5.1,.462,8.4,9.4,.901,4.9,6.2,2.1,0.8,3.6,3.0,25.3
Derrick Williams,7.99,2011,1141,.690,.650,.195,.871,.279,38,38,7.9,13.3,.595,6.5,10.7,.601,1.5,2.6,.568,8.7,11.6,.746,11.0,1.5,1.3,0.9,3.5,3.7,26.0
Tristan Thompson,7.96,2011,1104,.536,.546,.000,.829,.200,36,34,6.2,11.4,.546,6.2,11.4,.546,0.0,0.0,,4.6,9.5,.487,10.2,1.6,1.2,3.1,2.3,3.6,17.1
Brandon Knight,8.91,2011,1363,.553,.508,.450,.333,.157,38,38,6.4,15.1,.423,3.8,8.3,.461,2.6,6.8,.377,4.0,5.0,.795,4.5,4.7,0.7,0.2,3.5,2.4,19.3
Kemba Walker,10.44,2011,1543,.543,.478,.307,.426,.251,41,41,8.2,19.2,.428,6.2,13.3,.471,1.9,5.9,.330,6.7,8.2,.819,5.8,4.8,2.0,0.2,2.4,1.5,25.0
Jimmer Fredette,5.76,2011,1323,.594,.533,.409,.369,.256,37,37,10.5,23.1,.452,6.7,13.7,.491,3.7,9.5,.396,7.6,8.5,.894,3.8,4.8,1.5,0.0,4.0,1.5,32.3
Klay Thompson,6.81,2011,1179,.574,.525,.446,.336,.198,34,33,8.1,18.7,.436,4.8,10.3,.466,3.3,8.3,.398,5.3,6.3,.838,6.0,4.3,1.9,1.1,3.9,3.4,24.9
Alec Burks,5.61,2011,1193,.574,.495,.179,.564,.221,38,37,8.4,17.9,.469,7.5,14.7,.508,0.9,3.2,.292,8.3,10.1,.825,8.3,3.8,1.4,0.4,3.3,3.0,26.1
Markieff Morris,7.62,2011,926,.642,.627,.178,.462,.257,38,34,8.4,14.3,.589,7.3,11.7,.625,1.1,2.5,.424,4.4,6.6,.673,13.7,2.3,1.3,1.9,3.4,4.7,22.4
Marcus Morris,7.62,2011,1076,.625,.601,.181,.511,.269,38,35,8.9,15.7,.570,8.0,12.8,.620,1.0,2.8,.342,5.5,8.0,.688,10.8,2.3,1.2,0.9,2.5,3.6,24.3
Kawhi Leonard,6.36,2011,1172,.512,.471,.181,.305,.231,36,36,7.2,16.2,.444,6.3,13.3,.478,0.9,2.9,.291,3.8,4.9,.759,13.0,3.1,1.7,0.7,2.6,3.0,19.0
Nikola Vucevic,7.96,2011,1187,.578,.539,.195,.383,.221,34,34,7.2,14.4,.505,6.3,11.6,.542,1.0,2.8,.349,4.1,5.5,.755,11.8,1.8,0.6,1.6,2.0,3.2,19.6
Iman Shumpert,5.68,2011,992,.517,.454,.346,.401,.196,31,31,7.1,17.6,.406,5.4,11.5,.474,1.7,6.1,.278,5.7,7.1,.806,7.4,4.4,3.4,0.2,2.9,3.5,21.7
Chris Singleton,6.45,2011,814,.531,.495,.332,.441,.191,28,25,6.1,14.1,.434,4.4,9.4,.466,1.7,4.7,.368,4.1,6.2,.667,9.4,1.6,2.7,2.0,3.0,4.4,18.0
Tobias Harris,8.73,2011,993,.540,.489,.189,.423,.177,34,33,7.5,16.2,.460,6.5,13.1,.497,0.9,3.1,.303,5.2,6.8,.753,9.9,1.8,1.0,1.2,2.5,2.8,21.0
Nolan Smith,8.31,2011,1259,.564,.508,.287,.405,.234,37,37,8.3,18.0,.458,6.4,12.9,.501,1.8,5.2,.350,5.9,7.3,.813,5.3,6.0,1.4,0.1,3.7,2.3,24.3
Kenneth Faried,-3.13,2011,1216,.619,.623,.000,.644,.272,35,34,7.7,12.3,.623,7.7,12.3,.623,0.0,0.0,,4.6,7.9,.577,16.7,1.2,2.2,2.7,3.0,3.6,19.9
