Kareem Rush,5.8,10.4,-0.033,.056,-7.2,-3.0,-1.1,-0.3,2002
Qyntel Woods,11.2,9.4,.034,-0.012,-5.0,-5.3,-0.3,-0.6,2002
Casey Jacobsen,9.2,9.6,.051,.068,-2.7,-1.3,-0.2,0.3,2002
Tayshaun Prince,11.7,13.3,.084,.134,-2.0,2.1,0.0,2.8,2002
Frank Williams,6.4,10.7,-0.035,.023,-5.9,-4.6,-0.2,-0.5,2002
John Salmons,9.5,10.6,.058,.064,-3.0,-1.2,-0.1,0.3,2002
Chris Jefferies,6.8,8.4,-0.039,.000,-6.7,-5.0,-0.8,-0.1,2002
Dan Dickau,9.9,9.0,.001,-0.003,-6.3,-5.2,-0.6,-0.2,2002
Carmelo Anthony,17.6,16.7,.098,.090,0.1,-1.2,1.6,0.5,2003
Chris Bosh,15.1,17.5,.119,.108,-0.3,0.4,1.1,1.8,2003
Dwyane Wade,17.6,23.1,.103,.177,1.3,4.4,1.8,4.8,2003
Chris Kaman,9.6,13.1,.001,.061,-3.8,-1.5,-0.9,0.2,2003
Kirk Hinrich,13.1,15.3,.072,.124,-0.5,3.3,1.0,3.7,2003
T.J. Ford,12.1,13.1,.022,.047,-2.6,-0.8,-0.2,0.8,2003
Mike Sweetney,17.2,16.4,.138,.122,-1.0,-2.1,0.1,0.0,2003
Jarvis Hayes,9.4,11.1,.012,.051,-3.7,-3.3,-0.9,-0.5,2003
Nick Collison,15.0,14.0,.135,.075,0.3,-1.1,0.8,0.3,2003
Marcus Banks,11.0,12.3,.026,.081,-3.3,-1.5,-0.5,0.2,2003
Luke Ridnour,13.1,14.6,.051,.100,-2.3,0.4,-0.1,1.5,2003
Reece Gaines,6.1,3.5,-0.065,-0.034,-7.7,-7.0,-0.5,-0.2,2003
David West,15.9,11.1,.143,.022,0.1,-4.6,0.5,-0.4,2003
Dahntay Jones,2.5,9.6,-0.114,.066,-7.8,-3.8,-0.2,-0.3,2003
Brian Cook,14.0,14.1,.122,.088,-1.1,-2.3,0.1,-0.1,2003
Josh Howard,15.7,15.8,.104,.126,1.2,2.5,1.3,2.8,2003
Emeka Okafor,16.3,14.9,.074,.054,-1.9,-1.9,0.1,0.0,2004
Ben Gordon,14.9,14.5,.084,.086,-0.6,0.2,0.7,1.4,2004
Devin Harris,14.7,17.4,.111,.139,1.1,0.6,0.9,0.8,2004
Josh Childress,15.2,15.8,.093,.121,0.0,1.5,1.2,2.0,2004
Luol Deng,14.2,15.8,.086,.120,0.6,0.9,1.1,1.9,2004
