1,Chen Fang Mansions,Fully Furnished Condominium,936 sqft ,26 Lorong 33 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.57 km
2,Treasures @ G19,Fully Furnished Condominium,409 sqft ,33 Lorong 19 Geylang, Ready to move,1,1,"S$ 2,100 /mo",EW9 Aljunied MRT Station,0.53 km
3,42 Cassia Crescent,Fully Furnished HDB Apartment,120 sqft ,42 Cassia Crescent, Ready to move,Room,0,S$ 750 /mo,EW9 Aljunied MRT Station,0.77 km
4,#1 Loft,Fully Furnished Apartment,592 sqft ,1 Lorong 24 Geylang, Ready to move,1,2,"S$ 2,350 /mo",EW9 Aljunied MRT Station,0.39 km
5,120 Paya Lebar Way,Fully Furnished HDB Apartment,120 sqft ,120 Paya Lebar Way, Ready to move,Room,0,S$ 650 /mo,EW9 Aljunied MRT Station,0.70 km
6,Casa Aerata,Fully Furnished Apartment,592 sqft ,9 Lorong 26 Geylang, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.52 km
7,Aston Mansions,Partially Furnished Apartment,1302 sqft ,3 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.90 km
8,Aston Mansions,Fully Furnished Apartment,1227 sqft ,3 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,400 /mo",EW9 Aljunied MRT Station,0.90 km
9,#1 Loft,Fully Furnished Apartment,100 sqft ,1 Lorong 24 Geylang, Ready to move,1,1,"S$ 1,400 /mo",EW9 Aljunied MRT Station,0.39 km
10,47 Jalan Tiga,Partially Furnished HDB Apartment,1001 sqft ,47 Jalan Tiga, Ready to move,3,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.88 km
11,The Sunny Spring,Fully Furnished Apartment,200 sqft ,50 Lorong 40 Geylang, Ready to move,Room,0,"S$ 1,200 /mo",EW9 Aljunied MRT Station,0.85 km
12,Centra Suites,Apartment,420 sqft ,38 Geylang Lorong 25A, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.20 km
13,Simsville,Fully Furnished Condominium,980 sqft ,10 Geylang East Avenue 2, Ready to move,2,2,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.76 km
14,Grandview Suites @ Geylang,Partially Furnished Condominium,935 sqft ,1 Geylang Lorong 22, Ready to move,1,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.41 km
15,Central Grove,Fully Furnished Condominium,150 sqft ,1 Geylang East Avenue 1, Ready to move,Room,0,"S$ 1,300 /mo",EW9 Aljunied MRT Station,0.18 km
16,"8, Lor 33 Geylang Sims Meadow",Unfurnished Apartment,1000 sqft ,8 Lor 33 Geylang, S$ 2.50 psf,3,2,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.61 km
17,41 Sims Drive,Partially Furnished HDB Apartment,650 sqft ,41 Sims Drive, Ready to move,3,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.81 km
18,122 Paya Lebar Way,Fully Furnished HDB Apartment,284 sqft ,122 Paya Lebar Way, Ready to move,Room,0,"S$ 1,000 /mo",EW9 Aljunied MRT Station,0.68 km
19,43 Sims Drive,Fully Furnished HDB Apartment,1000 sqft ,43 Sims Drive, Ready to move,3,2,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.72 km
0,Edenz Suites,Fully Furnished Apartment,484 sqft ,21 Lorong 28 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.52 km
1,Rezi 26,Fully Furnished Condominium,150 sqft ,5 Lorong 26 Geylang, Ready to move,Room,0,"S$ 1,250 /mo",EW9 Aljunied MRT Station,0.46 km
2,Geylang Conservation,Partially Furnished Shophouse,"1300 sqft, 1300 sqft (land) ",Lorong 13 geylang road, Ready to move,4,2,"S$ 4,500 /mo",EW9 Aljunied MRT Station,0.67 km
3,Athena Ville,Partially Furnished Apartment,1195 sqft ,25 Lorong 29 Geylang, Ready to move,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.38 km
4,Sims Urban Oasis,Partially Furnished Condominium,957 sqft ,10 Sims Drive, Ready to move,3,2,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.32 km
5,The Waterina,Partially Furnished Apartment,1259 sqft ,51 Lorong 40 Geylang, Ready to move,3,2,"S$ 4,300 /mo",EW9 Aljunied MRT Station,0.90 km
6,Guillemard Edge,Fully Furnished Condominium,409 sqft ,38 Lorong 30 Geylang, Available from 15 Apr,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.60 km
7,Sims Urban Oasis,Partially Furnished Condominium,700 sqft ,10 Sims Drive, Ready to move,2,1,"S$ 2,650 /mo",EW9 Aljunied MRT Station,0.32 km
8,Room Rental For Construction Workers At Lorong 8 Geylang,Unfurnished Walk-up,150 sqft ,9B Lorong 8 Geylang, S$ 2.53 psf,Room,0,S$ 380 /mo,EW9 Aljunied MRT Station,0.85 km
9,Palm Lodge,Fully Furnished Condominium,180 sqft ,6 Lorong 37 Geylang, Ready to move,Room,0,S$ 950 /mo,EW9 Aljunied MRT Station,0.80 km
10,9 Pine Close,Fully Furnished HDB Apartment,160 sqft ,9 Pine Close, Ready to move,Room,0,S$ 680 /mo,EW9 Aljunied MRT Station,0.80 km
11,Sunflower Court,Partially Furnished Condominium,1140 sqft ,30 Lorong 6 Geylang, S$ 2.46 psf,3,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.97 km
12,Rezi 3Two,Partially Furnished Apartment,495 sqft ,(within 0.64 km), Ready to move,2,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.64 km
13,24 Lorong 34 Geylang,Fully Furnished Apartment,1100 sqft ,24 Lorong 34 Geylang, Ready to move,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.66 km
14,Sims Edge,Fully Furnished Condominium,506 sqft ,1 Geylang East Avenue 2, Ready to move,2,1,"S$ 2,500 /mo",EW9 Aljunied MRT Station,0.56 km
15,La Brisa,Partially Furnished Condominium,527 sqft ,50 Lorong 28 Geylang, Ready to move,2,1,"S$ 2,299 /mo",EW9 Aljunied MRT Station,0.59 km
16,Sims Urban Oasis,Condominium,958 sqft ,Sims Drive, Ready to move,3,2,"S$ 3,888 /mo",EW9 Aljunied MRT Station,0.32 km
17,126 Geylang East Avenue 1,Fully Furnished HDB Apartment,828 sqft ,126 Geylang East Avenue 1, Available from 2 Jun,2,2,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.47 km
18,The Sunny Spring,Fully Furnished Apartment,1109 sqft ,50 Lorong 40 Geylang, Ready to move,3,3,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.85 km
19,Casa Aerata,Partially Furnished Apartment,592 sqft ,9 Lorong 26 Geylang, Ready to move,2,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.52 km
0,30 Cassia Crescent,Fully Furnished HDB Apartment,1097 sqft ,30 Cassia Crescent, Ready to move,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.78 km
1,"Worker Stay Apt At Geylang, Call Me Fast",Partially Furnished Apartment,1000 sqft ,Lor 24 Geylang, Ready to move,3,2,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.50 km
2,93 Jalan Dua,Fully Furnished HDB Apartment,667 sqft ,93 Jalan Dua, Ready to move,2,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.99 km
3,La Brisa,Partially Furnished Condominium,527 sqft ,50 Lorong 28 Geylang, Ready to move,2,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.59 km
4,Geylang Lor 41,Fully Furnished Conservation House,990 sqft ,Geylang Lor 41, Ready to move,2,2,"S$ 4,300 /mo",EW9 Aljunied MRT Station,0.92 km
5,Sims Urban Oasis,Partially Furnished Condominium,624 sqft ,16 Sims Drive, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
6,Crystal Lodge,Fully Furnished Apartment,1184 sqft ,30 Geylang Lor 16, Available from 1 Jun,3,4,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.67 km
7,#1 Suites (One Suites),Partially Furnished Condominium,250 sqft ,1 Lorong 20 Geylang, S$ 5.20 psf,Room,0,"S$ 1,300 /mo",EW9 Aljunied MRT Station,0.48 km
8,Suites 28,Fully Furnished Apartment,861 sqft ,28 Lorong 30 Geylang, Ready to move,2,2,"S$ 3,300 /mo",EW9 Aljunied MRT Station,0.55 km
9,Centra Residence,Fully Furnished Condominium,441 sqft ,8 Lorong 7 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.88 km
10,Smart Suites,Partially Furnished Condominium,578 sqft ,302 Sims Avenue, Ready to move,2,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.18 km
11,Sims Urban Oasis,Fully Furnished Condominium,699 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,599 /mo",EW9 Aljunied MRT Station,0.32 km
12,Sims Urban Oasis,Fully Furnished Condominium,463 sqft ,Sims Drive, Ready to move,1,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.32 km
13,Calin Mansions,Fully Furnished Apartment,110 sqft ,30 Lorong 33 Geylang, Ready to move,Room,0,"S$ 1,100 /mo",EW9 Aljunied MRT Station,0.57 km
14,87 Circuit Road,Partially Furnished HDB Apartment,645 sqft ,87 Circuit Road, Ready to move,2,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.81 km
15,Aston Mansions,Fully Furnished Apartment,1302 sqft ,7 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,800 /mo",EW9 Aljunied MRT Station,0.90 km
16,Prime Residence,Fully Furnished Condominium,538 sqft ,41 Lorong 22 Geylang, Ready to move,1,1,"S$ 2,200 /mo",EW9 Aljunied MRT Station,0.59 km
17,Guillemard Edge,Fully Furnished Condominium,409 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 1,850 /mo",EW9 Aljunied MRT Station,0.60 km
18,Prime Residence,Partially Furnished Condominium,409 sqft ,41 Lorong 22 Geylang, Ready to move,1,1,"S$ 1,800 /mo",EW9 Aljunied MRT Station,0.59 km
19,Includes Utilities Fibre Internet Only $1000,Fully Furnished Apartment,175 sqft ,11 Lorong 4 Geylang, Ready to move,Room,0,"S$ 1,000 /mo",EW9 Aljunied MRT Station,0.98 km
0,Near Kallang MRT And JCU Studio Apt Includes Utilities @ $1600,Fully Furnished Apartment,272 sqft ,11 Lorong 4 Geylang, Ready to move,Studio,0,"S$ 1,600 /mo",EW9 Aljunied MRT Station,0.98 km
1,Rezi 3Two,Fully Furnished Apartment,494 sqft ,48 Lorong 32 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.64 km
2,La Fleur,Fully Furnished Condominium,441 sqft ,8 Lorong 26 Geylang, Available from 24 Apr,1,1,"S$ 1,899 /mo",EW9 Aljunied MRT Station,0.48 km
3,Guillemard Edge,Fully Furnished Condominium,860 sqft ,38 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.60 km
4,Palm Lodge,Fully Furnished Apartment,120 sqft ,4 Geylang Lor 37, Ready to move,Room,0,"S$ 1,000 /mo",EW9 Aljunied MRT Station,0.80 km
5,Palm Lodge,Fully Furnished Apartment,250 sqft ,4 Geylang Lor 37, Ready to move,Room,0,"S$ 1,350 /mo",EW9 Aljunied MRT Station,0.80 km
6,The Sunny Spring,Fully Furnished Apartment,150 sqft ,50 Lorong 40 Geylang, Ready to move,Room,0,"S$ 1,000 /mo",EW9 Aljunied MRT Station,0.85 km
7,Simsville,Fully Furnished Condominium,1249 sqft ,10 Geylang East Avenue 2, Ready to move,3,2,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.76 km
8,Simsville,Fully Furnished Condominium,1238 sqft ,2 Geylang East Avenue 2, Ready to move,3,2,"S$ 3,450 /mo",EW9 Aljunied MRT Station,0.76 km
9,Simsville,Fully Furnished Condominium,180 sqft ,2 Geylang East Avenue 2, Ready to move,Room,0,"S$ 1,150 /mo",EW9 Aljunied MRT Station,0.76 km
10,124 Geylang East Avenue 1,Fully Furnished HDB Apartment,1421 sqft ,124 Geylang East Avenue 1, Available from 20 Apr,3,2,"S$ 2,700 /mo",EW9 Aljunied MRT Station,0.44 km
11,Sims Urban Oasis,Partially Furnished Condominium,624 sqft ,Sims Drive, Ready to move,2,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.32 km
12,Balmy Court,Condominium,1200 sqft ,6 Lorong 27A Geylang, Ready to move,3,2,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.34 km
13,95 Aljunied Crescent,Fully Furnished HDB Apartment,200 sqft ,95 Aljunied Crescent, Ready to move,Room,0,S$ 600 /mo,EW9 Aljunied MRT Station,0.66 km
14,Shophouse,Walk-up,1250 sqft ,136 Sims Ave, Ready to move,3,2,"S$ 2,800 /mo",EW9 Aljunied MRT Station,0.52 km
15,35 LORONG 33 GEYLANG,Fully Furnished Apartment,550 sqft ,35 LORONG 33 GEYLANG, Ready to move,1,1,"S$ 1,500 /mo",EW9 Aljunied MRT Station,0.55 km
16,Regal 35,Fully Furnished Apartment,1120 sqft ,15 Lorong 35 Geylang, Ready to move,3,2,"S$ 3,200 /mo",EW9 Aljunied MRT Station,0.61 km
17,Treasures @ G19,Partially Furnished Condominium,388 sqft ,33 Lorong 19 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.53 km
18,Sims Urban Oasis,Fully Furnished Condominium,463 sqft ,Sims Drive, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.32 km
19,Smart Suites,Condominium,452 sqft ,302 Sims Avenue, Ready to move,1,1,"S$ 2,000 /mo",EW9 Aljunied MRT Station,0.18 km
