13,Casa Aerata,Fully Furnished Apartment,431 sqft ,9 Lorong 26 Geylang, Ready to move,1,1,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.52 km
14,Loft 33 @ Geylang,Fully Furnished Apartment,1216 sqft ,33 Geylang Lorong 32, Ready to move,3,3,"S$ 3,600 /mo",EW9 Aljunied MRT Station,0.62 km
15,Sims Edge,Condominium,581 sqft ,1 Geylang East Avenue 2, Ready to move,2,2,"S$ 2,400 /mo",EW9 Aljunied MRT Station,0.56 km
16,The Waterina,Apartment,1346 sqft ,57 Lorong 40 Geylang, S$ 2.97 psf,3,3,"S$ 4,000 /mo",EW9 Aljunied MRT Station,0.90 km
17,The Waterina,Fully Furnished Apartment,667 sqft ,67 Lorong 40 Geylang, Ready to move,1,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.90 km
18,The Water Edge @ Geylang,Fully Furnished Condominium,850 sqft ,8 Lorong 38 Geylang, Available from 1 Jun,1,1,"S$ 2,600 /mo",EW9 Aljunied MRT Station,0.72 km
19,Sims Urban Oasis,Unfurnished Condominium,1442 sqft ,6 Sims Drive, Available from 1 May,4,3,"S$ 5,800 /mo",EW9 Aljunied MRT Station,0.32 km
0,Aston Mansions,Unfurnished Apartment,1302 sqft ,3 Lorong 42 Geylang, Ready to move,3,1,"S$ 2,300 /mo",EW9 Aljunied MRT Station,0.90 km
1,124 Geylang East Avenue 1,Fully Furnished HDB Apartment,190 sqft ,124 Geylang East Avenue 1, Ready to move,Room,0,S$ 500 /mo,EW9 Aljunied MRT Station,0.44 km
2,#1 Loft,Fully Furnished Apartment,560 sqft ,1 Lorong 24 Geylang, Ready to move,1,2,"S$ 1,900 /mo",EW9 Aljunied MRT Station,0.39 km
3,44 Sims Drive,Fully Furnished HDB Apartment,70 sqft ,44 Sims Drive, S$ 5.71 psf,Room,0,S$ 400 /mo,EW9 Aljunied MRT Station,0.65 km
4,Sims Urban Oasis,Partially Furnished Condominium,958 sqft ,8 Sims Drive, Ready to move,3,2,"S$ 3,998 /mo",EW9 Aljunied MRT Station,0.32 km
5,Aston Mansions,Fully Furnished Apartment,1100 sqft ,5 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,400 /mo",EW9 Aljunied MRT Station,0.90 km
6,9 Pine Close,Fully Furnished HDB Apartment,150 sqft ,9 Pine Close, Ready to move,Room,0,S$ 700 /mo,EW9 Aljunied MRT Station,0.80 km
7,Sims Urban Oasis,Fully Furnished Condominium,758 sqft ,2 Sims Drive, Ready to move,2,1,"S$ 3,000 /mo",EW9 Aljunied MRT Station,0.32 km
