7,Optima @ Tanah Merah,Partially Furnished Apartment,1001 sqft ,78 Tanah Merah Kechil Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.11 km
8,Optima @ Tanah Merah,Partially Furnished Condominium,1356 sqft ,88 Tanah Merah Kechil Avenue, Available from 15 May,3,2,"S$ 5,000 /mo",EW4 Tanah Merah MRT Station,0.11 km
9,Detached Bungalow @ Kew Crescent,Partially Furnished Detached House,5879 sqft ,Kew Crescent, Ready to move,6,5,"S$ 8,500 /mo",EW4 Tanah Merah MRT Station,0.99 km
10,Bedok Ria,Partially Furnished Terraced House,"3186 sqft, 1872 sqft (land) ",7 Bedok Ria Terrace, Ready to move,4,4,"S$ 5,400 /mo",EW4 Tanah Merah MRT Station,0.68 km
11,Stratford Court,Partially Furnished Condominium,2034 sqft ,41A Bedok Ria Crescent, Ready to move,4,4,"S$ 4,100 /mo",EW4 Tanah Merah MRT Station,0.63 km
12,Casa Merah,Fully Furnished Condominium,1227 sqft ,58 Tanah Merah Kechil Avenue, Ready to move,3,2,"S$ 3,800 /mo",EW4 Tanah Merah MRT Station,0.28 km
13,The Tanamera,Partially Furnished Condominium,1325 sqft ,5 Tanah Merah Kechil Road, Ready to move,3,3,"S$ 3,100 /mo",EW4 Tanah Merah MRT Station,0.41 km
14,"51, NEW UPPER CHANGI ROAD",Fully Furnished HDB Apartment,905 sqft ,New Upper Changi, Ready to move,3,1,"S$ 2,300 /mo",EW4 Tanah Merah MRT Station,0.69 km
15,119 Bedok North Road,Fully Furnished HDB Apartment,990 sqft ,119 Bedok North Road, Available from 16 Apr,3,2,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.96 km
16,Urban Vista,Fully Furnished Condominium,549 sqft ,22 Tanah Merah Kechil Link, Ready to move,2,1,"S$ 3,000 /mo",EW4 Tanah Merah MRT Station,0.27 km
17,Casa Merah,Fully Furnished Condominium,2185 sqft ,60 Tanah Merah Kechil Avenue, Ready to move,4,4,"S$ 5,300 /mo",EW4 Tanah Merah MRT Station,0.28 km
18,77 Bedok North Road,Fully Furnished HDB Apartment,645 sqft ,77 Bedok North Road, Ready to move,Room,0,S$ 650 /mo,EW4 Tanah Merah MRT Station,0.55 km
19,East Meadows,Partially Furnished Condominium,1200 sqft ,30 Tanah Merah Kechil Road, Available from 20 May,3,3,"S$ 3,000 /mo",EW4 Tanah Merah MRT Station,0.32 km
0,Casa Merah,Fully Furnished Condominium,1226 sqft ,66 Tanah Merah Kechil Avenue, Ready to move,3,2,"S$ 3,400 /mo",EW4 Tanah Merah MRT Station,0.28 km
1,Urban Vista,Fully Furnished Condominium,250 sqft ,10 Tanah Merah Kechil Link, Ready to move,Room,0,"S$ 1,550 /mo",EW4 Tanah Merah MRT Station,0.27 km
2,Urban Vista,Partially Furnished Condominium,441 sqft ,2 Tanah Merah Kechil Link, Ready to move,1,2,"S$ 2,100 /mo",EW4 Tanah Merah MRT Station,0.27 km
3,Optima @ Tanah Merah,Apartment,1001 sqft ,86 Tanah Merah Kechil Avenue, S$ 3.30 psf,2,2,"S$ 3,300 /mo",EW4 Tanah Merah MRT Station,0.11 km
4,ECO,Partially Furnished Condominium,700 sqft ,Bedok South Avenue 3, Ready to move,2,1,"S$ 2,600 /mo",EW4 Tanah Merah MRT Station,0.68 km
5,186B Bedok North Street 4,Fully Furnished HDB Apartment,600 sqft ,186B Bedok North Street 4, Ready to move,Room,0,"S$ 1,300 /mo",EW4 Tanah Merah MRT Station,0.73 km
6,East Village,Partially Furnished Condominium,1668 sqft ,430 Upper Changi Road, Ready to move,3,2,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.53 km
7,Canary Park,Fully Furnished Terraced House,"2184 sqft, 2000 sqft (land) ",Jalan Simpang Bedok, S$ 2.10 psf,4,3,"S$ 4,200 /mo",EW4 Tanah Merah MRT Station,0.73 km
8,Casa Merah,Fully Furnished Condominium,1227 sqft ,64 Tanah Merah Kechil Avenue, Available from 29 Apr,3,3,"S$ 3,500 /mo",EW4 Tanah Merah MRT Station,0.28 km
9,East Meadows,Fully Furnished Condominium,1195 sqft ,30 Tanah Merah Kechil Road, Available from 20 May,3,3,"S$ 3,400 /mo",EW4 Tanah Merah MRT Station,0.32 km
10,Optima @ Tanah Merah,Partially Furnished Apartment,947 sqft ,78 Tanah Merah Kechil Avenue, Ready to move,2,2,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.11 km
11,Bedok Court,Partially Furnished Condominium,1819 sqft ,295 Bedok South Avenue 3, Ready to move,2,2,"S$ 3,200 /mo",EW4 Tanah Merah MRT Station,0.62 km
