11,Aston Mansions,Apartment,1200 sqft ,3 Lorong 42 Geylang, Ready to move,3,3,"S$ 3,400 /mo",EW8 Paya Lebar MRT Station,0.55 km
12,Aston Mansions,Fully Furnished Apartment,250 sqft ,3 Lorong 42 Geylang, Ready to move,Room,0,S$ 900 /mo,EW8 Paya Lebar MRT Station,0.55 km
13,Sandy Lane,Fully Furnished Terraced House,"250 sqft, 2736 sqft (land) ",Sandy Lane, Ready to move,1,3,S$ 780 /mo,EW8 Paya Lebar MRT Station,0.68 km
14,Aston Mansions,Apartment,1302 sqft ,3 Lorong 42 Geylang, Ready to move,3,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.55 km
15,Katong Regency,Partially Furnished Condominium,840 sqft ,13 Tanjong Katong Road, Ready to move,1,1,"S$ 2,500 /mo",EW8 Paya Lebar MRT Station,0.37 km
16,Chen Fang Mansions,Fully Furnished Apartment,936 sqft ,26 Lorong 33 Geylang, Ready to move,2,2,"S$ 2,700 /mo",EW8 Paya Lebar MRT Station,0.67 km
17,Idyllic Suites,Fully Furnished Condominium,441 sqft ,21 Lorong 30 Geylang, Ready to move,1,1,"S$ 2,000 /mo",EW8 Paya Lebar MRT Station,0.97 km
18,Centra Loft,Fully Furnished Condominium,431 sqft ,3 Lorong 35 Geylang, Ready to move,2,1,"S$ 1,900 /mo",EW8 Paya Lebar MRT Station,0.66 km
0,Regal 35,Fully Furnished Apartment,1120 sqft ,15 Lorong 35 Geylang, Ready to move,3,2,"S$ 3,200 /mo",EW8 Paya Lebar MRT Station,0.61 km
1,124 Geylang East Avenue 1,HDB Apartment,200 sqft ,124 Geylang East Avenue 1, Available from 20 May,Room,0,S$ 950 /mo,EW8 Paya Lebar MRT Station,0.77 km
2,124 Geylang East Avenue 1,HDB Apartment,800 sqft ,124 Geylang East Avenue 1, Available from 20 May,2,2,"S$ 1,800 /mo",EW8 Paya Lebar MRT Station,0.77 km
3,IR14 - Sweet Dreams East Coast Heritage Home,Unfurnished Conservation House,866 sqft ,(within 0.83 km), Ready to move,3,2,"S$ 6,000 /mo",EW8 Paya Lebar MRT Station,0.83 km
