2,Parc Vista,Partially Furnished Condominium,1518 sqft ,450 Corporation Road, Ready to move,3,3,"S$ 3,300 /mo",EW26 Lakeside MRT Station,0.48 km
3,437 Jurong West Avenue 1,Fully Furnished HDB Apartment,1450 sqft ,437 Jurong West Avenue 1, Available from 16 Apr,3,2,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.90 km
4,524 Jurong West Street 52,Unfurnished HDB Apartment,721 sqft ,524 Jurong West Street 52, Available from 1 May,2,2,"S$ 2,000 /mo",EW26 Lakeside MRT Station,0.51 km
5,The Lakeshore,Fully Furnished Condominium,947 sqft ,31 Jurong West Street 41, Ready to move,2,3,"S$ 2,800 /mo",EW26 Lakeside MRT Station,0.21 km
6,Summerdale,Fully Furnished Condominium,1399 sqft ,8 Boon Lay Drive, Ready to move,3,3,"S$ 2,900 /mo",EW26 Lakeside MRT Station,0.99 km
7,Lakeville,Fully Furnished Condominium,635 sqft ,1 Jurong Lake Link, Ready to move,2,1,"S$ 2,400 /mo",EW26 Lakeside MRT Station,0.50 km
8,Lakeville,Fully Furnished Condominium,635 sqft ,Jurong Lake Link, Available from 1 May,2,1,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.50 km
9,The Lakefront Residences,Condominium,1012 sqft ,42 Lakeside Drive, Ready to move,3,2,"S$ 3,200 /mo",EW26 Lakeside MRT Station,0.18 km
10,Lakeholmz,Fully Furnished Condominium,1517 sqft ,90 Corporation Road, Ready to move,4,4,"S$ 3,800 /mo",EW26 Lakeside MRT Station,0.53 km
11,Lakeholmz,Fully Furnished Condominium,101 sqft ,90 Corporation Road, Ready to move,1,3,S$ 950 /mo,EW26 Lakeside MRT Station,0.53 km
12,The Lakeshore,Fully Furnished Condominium,1173 sqft ,29 Jurong West Street 41, Ready to move,3,3,"S$ 3,300 /mo",EW26 Lakeside MRT Station,0.21 km
13,The Lakefront Residences,Fully Furnished Condominium,494 sqft ,42 Lakeside Drive, Ready to move,1,1,"S$ 2,300 /mo",EW26 Lakeside MRT Station,0.18 km
14,Lakeside Grove,Terraced House,"2600 sqft, 1614 sqft (land) ",Corporation Rise, Ready to move,6,4,"S$ 5,000 /mo",EW26 Lakeside MRT Station,0.69 km
15,The Lakefront Residences,Partially Furnished Condominium,1001 sqft ,42 Lakeside Drive, Ready to move,3,2,"S$ 3,300 /mo",EW26 Lakeside MRT Station,0.18 km
