4,The Bencoolen,Fully Furnished Apartment,872 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,500 /mo",EW12 Bugis MRT Station,0.31 km
5,DUO Residences,Partially Furnished Apartment,818 sqft ,1 Fraser Street, Ready to move,2,2,"S$ 5,900 /mo",EW12 Bugis MRT Station,0.28 km
6,Parc Sophia,Fully Furnished Apartment,550 sqft ,10 Adis Road, Ready to move,Studio,0,"S$ 2,600 /mo",EW12 Bugis MRT Station,0.96 km
7,Sophia Hills,Partially Furnished Condominium,710 sqft ,11 Mount Sophia, Available from 16 Apr,2,2,"S$ 4,200 /mo",EW12 Bugis MRT Station,0.97 km
8,Blk 26 Jalan Bersih,Fully Furnished HDB Apartment,120 sqft ,26 Jalan Berseh, S$ 5.42 psf,Room,0,S$ 650 /mo,EW12 Bugis MRT Station,0.65 km
9,Min Yuan,Fully Furnished Apartment,110 sqft ,62 Waterloo Street, S$ 9.09 psf,Room,0,"S$ 1,000 /mo",EW12 Bugis MRT Station,0.54 km
10,The Bencoolen,Fully Furnished Apartment,1050 sqft ,180 Bencoolen Street, Ready to move,2,2,"S$ 3,750 /mo",EW12 Bugis MRT Station,0.31 km
11,DUO Residences,Partially Furnished Apartment,1528 sqft ,1 Fraser Street, Ready to move,3,3,"S$ 7,300 /mo",EW12 Bugis MRT Station,0.28 km
12,Parc Emily,Fully Furnished Condominium,689 sqft ,5 Mount Emily Road, Ready to move,1,1,"S$ 3,200 /mo",EW12 Bugis MRT Station,0.83 km
13,LIV On Sophia,Fully Furnished Apartment,165 sqft ,14 Adis Road, Ready to move,Studio,0,"S$ 1,550 /mo",EW12 Bugis MRT Station,0.87 km
14,Sophia Residence,Fully Furnished Condominium,796 sqft ,9 Sophia Road, Ready to move,2,1,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.74 km
15,Sophia Residence,Fully Furnished Condominium,797 sqft ,5 Sophia Road, Ready to move,2,2,"S$ 3,900 /mo",EW12 Bugis MRT Station,0.74 km
16,DUO Residences,Partially Furnished Apartment,721 sqft ,1 Fraser Street, Ready to move,1,1,"S$ 3,700 /mo",EW12 Bugis MRT Station,0.28 km
