7,The Crest,Partially Furnished Condominium,1916 sqft ,101 Prince Charles Crescent, Ready to move,5,4,"S$ 8,500 /mo",EW18 Redhill MRT Station,0.74 km
8,115 Bukit Merah Central,Fully Furnished HDB Apartment,1259 sqft ,115 Bukit Merah Central, Ready to move,3,2,"S$ 2,800 /mo",EW18 Redhill MRT Station,0.68 km
9,The Metropolitan Condominium,Fully Furnished Condominium,150 sqft ,8 Alexandra View, Ready to move,Room,0,"S$ 1,200 /mo",EW18 Redhill MRT Station,0.12 km
10,The Metropolitan Condominium,Condominium,1076 sqft ,6 Alexandra View, Ready to move,2,2,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.12 km
11,Alex Residences,Apartment,678 sqft ,Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.06 km
12,Alex Residences,Apartment,474 sqft ,Alexandra View, Ready to move,1,1,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.06 km
13,Jervois Lodge,Fully Furnished Condominium,250 sqft ,32 Jervois Road, S$ 4.80 psf,Room,0,"S$ 1,200 /mo",EW18 Redhill MRT Station,0.89 km
14,Alex Residences,Fully Furnished Apartment,474 sqft ,Alexandra View, Ready to move,1,1,"S$ 2,900 /mo",EW18 Redhill MRT Station,0.06 km
15,Alex Residences,Partially Furnished Apartment,507 sqft ,Alexandra View, Ready to move,1,1,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.06 km
16,Tanglin View,Fully Furnished Condominium,1249 sqft ,150 Prince Charles Crescent, Ready to move,3,2,"S$ 4,350 /mo",EW18 Redhill MRT Station,0.28 km
17,The Metropolitan Condominium,Condominium,785 sqft ,8 Alexandra View, Ready to move,2,1,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.12 km
18,One Jervois,Partially Furnished Condominium,1301 sqft ,7 Jervois Close, Ready to move,3,2,"S$ 5,000 /mo",EW18 Redhill MRT Station,0.97 km
19,Ascentia Sky,Partially Furnished Condominium,1012 sqft ,1 Alexandra View, Available from 23 May,2,2,"S$ 4,700 /mo",EW18 Redhill MRT Station,0.23 km
0,Ascentia Sky,Partially Furnished Condominium,1474 sqft ,1 Alexandra View, Ready to move,3,3,"S$ 6,900 /mo",EW18 Redhill MRT Station,0.23 km
1,Tanglin Regency,Fully Furnished Condominium,985 sqft ,381 Tanglin Road, Available from 1 May,2,2,"S$ 3,200 /mo",EW18 Redhill MRT Station,0.25 km
2,124B Bukit Merah View,Fully Furnished HDB Apartment,1173 sqft ,124B Bukit Merah View, Ready to move,3,2,"S$ 2,600 /mo",EW18 Redhill MRT Station,0.85 km
3,The Metropolitan Condominium,Partially Furnished Condominium,732 sqft ,6 Alexandra View, Ready to move,2,1,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.12 km
4,165 Bukit Merah Central,Fully Furnished HDB Apartment,775 sqft ,165 Bukit Merah Central, Ready to move,2,2,"S$ 1,950 /mo",EW18 Redhill MRT Station,0.75 km
5,Jervois Mansions,Partially Furnished Apartment,3000 sqft ,18 Jervois Road, Ready to move,3,3,"S$ 9,000 /mo",EW18 Redhill MRT Station,0.95 km
6,The Crest,Partially Furnished Condominium,990 sqft ,101 Prince Charles Crescent, Ready to move,2,2,"S$ 4,800 /mo",EW18 Redhill MRT Station,0.74 km
7,Alex Residences,Apartment,678 sqft ,28 Alexandra View, Ready to move,2,2,"S$ 3,500 /mo",EW18 Redhill MRT Station,0.11 km
8,Alex Residences,Fully Furnished Condominium,926 sqft ,28 Alexandra View, Ready to move,3,2,"S$ 4,499 /mo",EW18 Redhill MRT Station,0.11 km
9,The Metropolitan Condominium,Fully Furnished Condominium,775 sqft ,6 Alexandra View, Ready to move,2,1,"S$ 3,300 /mo",EW18 Redhill MRT Station,0.12 km
10,Alex Residences,Partially Furnished Condominium,904 sqft ,28 Alexandra View, Ready to move,3,2,"S$ 4,000 /mo",EW18 Redhill MRT Station,0.11 km
11,87 Redhill Close,Fully Furnished HDB Apartment,160 sqft ,87 Redhill Close, Ready to move,Room,0,S$ 750 /mo,EW18 Redhill MRT Station,0.48 km
12,Tanglin View,Fully Furnished Condominium,1141 sqft ,150 Prince Charles Crescent, Available from 30 Apr,3,3,"S$ 3,950 /mo",EW18 Redhill MRT Station,0.28 km
13,39 Jalan Rumah Tinggi,Fully Furnished HDB Apartment,1108 sqft ,39 Jalan Rumah Tinggi, Ready to move,3,2,"S$ 2,500 /mo",EW18 Redhill MRT Station,0.88 km
14,Tanglin Regency,Unfurnished Condominium,980 sqft ,381 Tanglin Road, Ready to move,2,2,"S$ 3,400 /mo",EW18 Redhill MRT Station,0.25 km
15,Alex Residences,Partially Furnished Condominium,904 sqft ,28 Alexandra View, Ready to move,3,2,"S$ 4,400 /mo",EW18 Redhill MRT Station,0.29 km
16,Tanglin Regency,Partially Furnished Condominium,1109 sqft ,383 Tanglin Road, S$ 3.43 psf,3,3,"S$ 3,800 /mo",EW18 Redhill MRT Station,0.25 km
17,The Crest,Fully Furnished Condominium,797 sqft ,101 Prince Charles Crescent, Ready to move,2,2,"S$ 4,200 /mo",EW18 Redhill MRT Station,0.74 km
18,The Crest,Partially Furnished Condominium,635 sqft ,101 Prince Charles Crescent, Ready to move,1,1,"S$ 3,400 /mo",EW18 Redhill MRT Station,0.74 km
19,Ascentia Sky,Fully Furnished Condominium,947 sqft ,3 Alexandra View, Available from 1 Jul,2,2,"S$ 4,100 /mo",EW18 Redhill MRT Station,0.23 km
